
id,name,nomen,sex,parent
780,CORN0780 L. Cornelius (211) L. f. Ti. n. Lentulus Caudinus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,688
781,FULV0781 Q. Fulvius (59) M. f. Q. n. Flaccus,Fulvius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,699
782,CORN0782 P. Cornelius (213) L. f. Ti. n. Lentulus Caudinus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,688
783,LICI0783 C. Licinius (174) P. f. P. n. Varus,Licinius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4998
785,AEMI0785 M'. Aemilius (103) M'. f. (Lepidus) Numida,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4753
786,LIVI0786 M. Livius (32) M. f. M. n. Salinator,Livius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4992
788,POST0788 L. Postumius (40) A. f. A. n. Albinus,Postumius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,766
789,CARV0789 Sp. Carvilius (10) Sp. f. C. n. Maximus (Ruga),Carvilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,649
791,POMP0791 M'. Pomponius (17) M'. f. M'. n. Matho,Pomponius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,5000
793,FLAM0793 C. Flaminius (2) C. f. L. n.,Flaminius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4090
796,AEMI0796 M. Aemilius (33) L. f. Q. n. Barbula,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,680
797,IUNI0797 M. Iunius (126) D. f. D. n. Pera,Iunius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,707
799,CORU0799 C. Coruncanius (1),Coruncanius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,683
800,CORU0800 L. Coruncanius (2),Coruncanius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,683
805,VALE0805 P. Valerius (181) L. f. M. n. Flaccus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,720
806,ATIL0806 M. Atilius (52) M. f. M. n. Regulus,Atilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,703
806,ATIL0806 M. Atilius (52) M. f. M. n. Regulus,Atilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,3861
807,VALE0807 M. Valerius (211) P. f. P. n. Laevinus,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4994
808,VALE0808 M. Valerius (251) M'. f. M. n. (Maximus) Messalla,Valerius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,716
810,CLAU0810 M. Claudius (220) M. f. M. n. Marcellus,Claudius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,4802
817,CORN0817 Cn. Cornelius (345) L. f. L. n. Scipio Calvus,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,722
819,CORN0819 P. Cornelius (342) (Cn. f. L. n.) Scipio Asina,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,723
823,LUTA0823 C. Lutatius (5) C. f. C. n. Catulus,Lutatius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,765
826,AEMI0826 L. Aemilius (118) M. f. M. n. Paullus,Aemilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,739
827,LIVI0827 M. Livius (33) M. f. M. n. Pol. Salinator,Livius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,786
828,FURI0828 L. Furius (36) Bibaculus,Furius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,831
832,CORN0832 P. Cornelius (330) L. f. L. n. Scipio,Cornelius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,722
836,MANL0836 L. Manlius (92) (Vulso),Manlius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,734
845,SERV0845 C. Servilius (59) (Geminus),Servilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,747
852,SERV0852 Cn. Servilius (61) P. f. Q. n. Geminus,Servilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,747
853,POMP0853 M. Pomponius (18) M'. f. M'. n. Matho,Pomponius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,5000
856,OTAC0856 T. Otacilius (12) Crassus,Otacilius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,721
857,POMP0857 -. Pomponius (20) (Matho),Pomponius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,791
857,POMP0857 -. Pomponius (20) (Matho),Pomponius,http://romanrepublic.ac.uk/rdf/entity/Sex/Male,853
